"","CensusTract","diabetesRiskScore"
"1",11001000100,0.0757425632623645
"2",11001000201,0.0032916759455688
"3",11001000202,0.0528802393955878
"4",11001000300,0.058722623693781
"5",11001000400,0.0968644887693954
"6",11001000501,0.0706317952653986
"7",11001000502,0.079867456139126
"8",11001000600,0.0977808449106209
"9",11001000701,0.103471806710381
"10",11001000702,0.0680601170764141
"11",11001000801,0.0826213530981085
"12",11001000802,0.0838070870536363
"13",11001000901,0.0549151597138901
"14",11001000902,0.0897999129115318
"15",11001001001,0.0865017044294272
"16",11001001002,0.0558321006721919
"17",11001001100,0.099998652191113
"18",11001001200,0.0834283494891025
"19",11001001301,0.0818028079459014
"20",11001001302,0.0828000003016726
"21",11001001401,0.0840281405448499
"22",11001001402,0.107689415238377
"23",11001001500,0.107415757334553
"24",11001001600,0.169134128340208
"25",11001001702,0.136503560979488
"26",11001001803,0.181557641833196
"27",11001001804,0.160302770263593
"28",11001001901,0.160112087111829
"29",11001001902,0.170975971166389
"30",11001002001,0.161543679365119
"31",11001002002,0.160474487559819
"32",11001002101,0.172265217913806
"33",11001002102,0.157311090230584
"34",11001002201,0.160730318898167
"35",11001002202,0.152376252984592
"36",11001002301,0.15937054945769
"37",11001002302,0.135701315675044
"38",11001002400,0.146079353890294
"39",11001002501,0.15067102209815
"40",11001002502,0.152113445594764
"41",11001002600,0.138223465197463
"42",11001002701,0.101261899697041
"43",11001002702,0.0912725519240087
"44",11001002801,0.12341923696995
"45",11001002802,0.103392027471924
"46",11001002900,0.102509881245886
"47",11001003000,0.122640479547767
"48",11001003100,0.1305926207105
"49",11001003200,0.135486713293984
"50",11001003301,0.10827927144787
"51",11001003302,0.12733166315052
"52",11001003400,0.106647736211838
"53",11001003500,0.111217633834717
"54",11001003600,0.116321354887895
"55",11001003700,0.110879926098572
"56",11001003800,0.0808232012449199
"57",11001003900,0.0828486585873115
"58",11001004001,0.0695402449016112
"59",11001004002,0.0752314588150129
"60",11001004100,0.095756375431519
"61",11001004201,0.0630815722309581
"62",11001004202,0.0659799545642991
"63",11001004300,0.106008286143107
"64",11001004400,0.0858870845445461
"65",11001004600,0.141589806330679
"66",11001004701,0.163618322415924
"67",11001004702,0.111792310486082
"68",11001004801,0.1299632392788
"69",11001004802,0.143459789294243
"70",11001004901,0.126514498916957
"71",11001004902,0.109013560281682
"72",11001005001,0.109714853843105
"73",11001005002,0.114677243336105
"74",11001005201,0.063707293733298
"75",11001005301,0.0650107104198077
"76",11001005500,0.0714428641069753
"77",11001005600,0.07739726285536
"78",11001005800,0.0926647276540297
"79",11001005900,0.0772127843440764
"80",11001006202,NA
"81",11001006400,0.187596086433083
"82",11001006500,0.079016773164799
"83",11001006600,0.0779550608903441
"84",11001006700,0.0897373944110532
"85",11001006801,0.127177176781755
"86",11001006802,0.119463578212789
"87",11001006804,NA
"88",11001006900,0.107758940418739
"89",11001007000,0.0764617930669579
"90",11001007100,0.137239418007963
"91",11001007200,0.0783078286965884
"92",11001007301,0.0715457946873833
"93",11001007304,0.182246486382678
"94",11001007401,0.185263584539529
"95",11001007403,0.185147650234067
"96",11001007404,0.183705204914428
"97",11001007406,0.171289210629958
"98",11001007407,0.185762427835975
"99",11001007408,0.17770757835199
"100",11001007409,0.175197607373229
"101",11001007502,0.191333427418398
"102",11001007503,0.17676559846382
"103",11001007504,0.183065062274846
"104",11001007601,0.199914316752251
"105",11001007603,0.183744407822607
"106",11001007604,0.175261888810253
"107",11001007605,0.1945955307229
"108",11001007703,0.186327908704699
"109",11001007707,0.174941235876614
"110",11001007708,0.193107033793445
"111",11001007709,0.197605305616592
"112",11001007803,0.199227962349371
"113",11001007804,0.198694843643604
"114",11001007806,0.203109943287811
"115",11001007807,0.188107462338378
"116",11001007808,0.162952277568233
"117",11001007809,0.192116947530017
"118",11001007901,0.168841276746867
"119",11001007903,0.181590708700996
"120",11001008001,0.10664813548143
"121",11001008002,0.108177193604579
"122",11001008100,0.0791478669372967
"123",11001008200,0.0580782867530426
"124",11001008301,0.0698329349904841
"125",11001008302,0.0828262197669101
"126",11001008402,0.125118078664619
"127",11001008410,0.12629193122275
"128",11001008701,0.146228353730661
"129",11001008702,0.164537538654906
"130",11001008802,0.174990111657739
"131",11001008803,0.124179888515343
"132",11001008804,0.188669019643781
"133",11001008903,0.181216226574137
"134",11001008904,0.183078295806078
"135",11001009000,0.201009534946022
"136",11001009102,0.164054496268419
"137",11001009201,0.134712979344825
"138",11001009203,0.149658306352577
"139",11001009204,0.179168141530937
"140",11001009301,0.150150502874801
"141",11001009302,0.159194874517294
"142",11001009400,0.167115153607196
"143",11001009501,0.124802729929122
"144",11001009503,0.173133382036541
"145",11001009504,0.167211217744713
"146",11001009505,0.191399022603394
"147",11001009507,0.183476234522514
"148",11001009508,0.169881031515592
"149",11001009509,0.179739541304809
"150",11001009601,0.185009199315104
"151",11001009602,0.200218142325127
"152",11001009603,0.193330852101389
"153",11001009604,0.200065766725363
"154",11001009700,0.185133436577398
"155",11001009801,0.184734396274672
"156",11001009802,0.186186704639688
"157",11001009803,0.196924675915965
"158",11001009804,0.17471335731904
"159",11001009807,0.186615719562222
"160",11001009810,0.174526751439637
"161",11001009811,0.181819419994197
"162",11001009901,0.189913574187813
"163",11001009902,0.204010914704827
"164",11001009903,0.1784410573552
"165",11001009904,0.184166208257147
"166",11001009905,0.181346517684545
"167",11001009906,0.200675606235015
"168",11001009907,0.171239755584811
"169",11001010100,0.113140700734679
"170",11001010200,0.12106863237972
"171",11001010300,0.15314782740872
"172",11001010400,0.182113464855938
