"statefp","countyfp","tract","pop","diabetes_num","diabetes_frac"
11,1,100,4227.85737634351,307.704365392484,0.0727802141846621
11,1,201,10.2453020913182,0.667224952841298,0.0651249662424983
11,1,202,3188.8415594231,187.426426150032,0.0587757098173107
11,1,300,5352.76384149418,298.620782451439,0.0557881481967419
11,1,400,1202.16011257316,119.513747244289,0.0994158315471611
11,1,501,2995.79096346803,163.546562641684,0.0545921142816845
11,1,502,2707.83963647396,194.813314703573,0.0719441846110395
11,1,600,3638.75781613919,313.559620558702,0.0861721599519355
11,1,701,4773.63483073395,446.615254745311,0.0935587389026661
11,1,702,3214.08405350269,177.112330421136,0.0551050711409119
11,1,801,5234.57733831056,435.19502536345,0.0831385224129494
11,1,802,2434.07513315336,198.997052592423,0.0817546877998874
11,1,901,3305.55796004634,240.358909614572,0.0727135668228313
11,1,902,1646.43797853664,143.410582423922,0.0871035437067514
11,1,1001,5674.90713927569,459.098100989875,0.0808996675579914
11,1,1002,3290.23858373799,183.682361236207,0.0558264565202223
11,1,1100,3662.65062485409,330.395888638211,0.0902067716740996
11,1,1200,4202.01370318218,306.757429951763,0.0730024820527015
11,1,1301,3475.27416981806,248.275445454174,0.071440534853448
11,1,1302,7299.21384970009,494.214143811214,0.0677078592280894
11,1,1401,2600.40183043146,197.371729157707,0.0759004730914834
11,1,1402,2407.69401345002,239.042905695907,0.0992829256377884
11,1,1500,4284.40190354344,400.217212644936,0.0934126213308641
11,1,1600,3245.56484463223,413.885984255486,0.127523560325717
11,1,1702,2521.72028963861,243.519365276554,0.0965687456603098
11,1,1803,2947.05090553427,366.007012887211,0.124194330067352
11,1,1804,4340.21132269744,503.566659391011,0.116023534789095
11,1,1901,2913.23035145716,355.611882690892,0.122067890207521
11,1,1902,1832.10995285789,224.699022692477,0.122644944066797
11,1,2001,2069.22076744029,275.2830060544,0.133037040023011
11,1,2002,2927.03843766103,355.961592252483,0.121611519572981
11,1,2101,4439.07982178556,544.02279254417,0.122553054773713
11,1,2102,3922.17265874248,463.865461567633,0.118267476199367
11,1,2201,2962.15713507724,311.920835752967,0.105301920704768
11,1,2202,2905.17351923396,291.815276305379,0.100446763118757
11,1,2301,2717.19865104259,289.85799484566,0.106675305000038
11,1,2302,1419.06674136953,188.547233519623,0.132867065390919
